time,cpu,mem,diskRand,diskSeq,fork,uplink
1608225597,255.94,488.43,31.55,31.62,.49,165
1608225997,262.08,465.44,31.62,31.60,.45,160
1608226404,248.67,88.59,12.73,12.36,.45,131
1608226812,243.53,78.83,9.02,9.60,.46,131
1608227218,246.61,98.50,14.87,15.27,.46,136
1608227624,252.00,95.44,12.18,12.03,.44,130
1608228034,238.40,74.11,10.70,9.75,.47,132
1608228438,246.68,97.56,12.11,14.85,.47,130
1608228842,251.33,280.72,15.64,13.07,.45,150
1608229251,246.15,83.31,11.50,8.87,.46,117
